Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
221,1 Rutherford Rd,Fast Food Restaurant,Harrisburg,US,40.292938,-76.807358,Wendy's Valenti Management,17109,PA,http://wendys.valentirestaurants.com
224,481 Lincoln Ave,Fast Food Restaurants,Pittsburgh,US,40.460967,-79.91008,Pizza Hut,15202,PA,http://www.pizzahut.com
237,710 W Girard Ave,Fast Food Restaurants,Philadelphia,US,39.970435,-75.147899,Tiffin,19123,PA,"http://tiffin.com,http://www.tiffin.com,http://www.tiffin.com/"
246,2005 Market St,Fast Food,Philadelphia,US,39.953602,-75.173279,Au Bon Pain,19103,PA,http://www.aubonpain.com
249,8298 Bustleton Ave,Fast Food,Philadelphia,US,40.066613,-75.051176,Dunkin' Donuts,19152,PA,"http://www.dunkindonuts.com,http://dunkindonuts.com"
250,8000 Pine Rd,Fast Food,Philadelphia,US,40.077221,-75.085188,Dunkin' Donuts,19111,PA,"http://www.dunkindonuts.com,http://www.dunkindonuts.com/"
252,7702 Mcknight Rd,Fast Food Restaurants,Pittsburgh,US,40.545413,-80.016243,McDonald's,15237,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
254,608 Wood St,Fast Food,Pittsburgh,US,40.44083,-79.886296,McDonald's,15222,PA,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
255,3708 Forbes Ave,Fast Food Restaurant Central Oakland,Pittsburgh,US,40.441128,-79.957619,McDonald's,15213,PA,http://mcdonalds.com
256,363 Perry Hwy,Fast Food Restaurant,Pittsburgh,US,40.517801,-80.029354,McDonald's,15229,PA,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com/us/en/home.html"
257,250 Summit Park Dr,Fast Food Restaurants,Pittsburgh,US,40.45116,-80.185857,McDonald's,15275,PA,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
258,225 Mount Lebanon Blvd,Fast Food Restaurant,Pittsburgh,US,40.368576,-80.037954,McDonald's,15234,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
259,549 Clairton Blvd,Fast Food Restaurant,Pittsburgh,US,40.332459,-79.946008,McDonald's,15236,PA,http://mcdonalds.com
260,100 Davis Blvd,Fast Food Restaurant,Pittsburgh,US,40.449249,-80.173662,McDonald's,15275,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
261,1 Poplar St,Fast Food Restaurant,Pittsburgh,US,40.42765,-80.053364,McDonald's,15205,PA,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com/us/en/home.html"
262,1 Poplar St,Fast Food,Pittsburgh,US,40.42765,-80.053364,McDonald's,15205,PA,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com/us/en/home.html"
264,9970 Bustleton Ave,Fast Food Restaurants,Philadelphia,US,40.100757,-75.029629,McDonald's,19115,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com/"
265,914 S Broad St,Fast Food,Philadelphia,US,39.93989,-75.166325,McDonald's,19146,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
266,6470 Torresdale Ave,Fast Food Restaurants,Philadelphia,US,40.023046,-75.048852,McDonald's,19135,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
