Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
4085,60 Arsenal Rd,Fast Food Restaurants,York,US,39.983692,-76.732797,McDonald's,17404,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4086,2752 Macarthur Rd,Fast Food,Whitehall,US,40.646651,-75.495608,McDonald's,18052,PA,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
4087,302 E Main St,Fast Food,Waynesboro,US,39.754377,-77.575475,McDonald's,17268,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4088,380 Memory Ln,Fast Food Restaurant,York,US,39.978529,-76.681603,McDonald's,17402,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4089,2061 S Queen St,Fast Food Restaurants,York,US,39.936944,-76.692748,McDonald's,17403,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4090,1730 E 3rd St,Fast Food Restaurant,Williamsport,US,41.249725,-76.970092,McDonald's,17701,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4091,999 Jefferson Ave,Fast Food,Washington,US,40.182182,-80.264269,McDonald's,15301,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4092,2251 Century Dr,Fast Food,West Mifflin,US,40.34389,-79.943316,McDonald's,15122,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4093,2601 Macarthur Rd,Fast Food Restaurant,Whitehall,US,40.645209,-75.488484,McDonald's,18052,PA,http://mcdonalds.com
4094,473 Main St,Fast Food Restaurants,Walnutport,US,40.756696,-75.595014,McDonald's,18088,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4095,133 S 69th St,Fast Food Restaurants,Upper Darby,US,39.958097,-75.258148,McDonald's,19082,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4096,133 S 69th St,Fast Food Restaurant,Upper Darby,US,39.958097,-75.258148,McDonald's,19082,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4097,133 S 69th St,Fast Food,Upper Darby,US,39.958097,-75.258148,McDonald's,19082,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4098,1294 W Chestnut St,Fast Food Restaurants,Washington,US,40.165528,-80.27166,McDonald's,15301,PA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4257,1037 Chestnut St,Fast Food Restaurants,Philadelphia,US,39.950332,-75.158423,Taco Bell,19107,PA,"http://tacobell.com,https://locations.tacobell.com/pa/philadelphia/1037-chestnut-st.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029331andutm_content=website"
4258,1037 Chestnut St,Fast Food Restaurant,Philadelphia,US,39.950332,-75.158423,Taco Bell,19107,PA,"http://tacobell.com,https://locations.tacobell.com/pa/philadelphia/1037-chestnut-st.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029331andutm_content=website"
4267,11021122 Airport Rd,Fast Food Restaurants,Allentown,US,40.627033,-75.442922,Taco Bell,18109,PA,http://www.tacobell.com
4294,1340 West Chestnut Street,Fast Food,Washington,US,40.165211,-80.271409,Taco Bell,15301,PA,https://locations.tacobell.com/pa/washington/1340-west-chestnut-street.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=026118&utm_content=website
4305,110 South Wyoming Avenue,Fast Food,Kingston,US,41.259894,-75.899957,Taco Bell,18704,PA,https://locations.tacobell.com/pa/kingston/110-south-wyoming-avenue.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=028965&utm_content=website
4387,3417 Forbes Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Pittsburgh,US,40.439155,-79.960715,Arby's,15213,PA,"http://arbys.com/our-menu,http://www.arbys.com"
4388,3417 Forbes Ave,Fast Food Restaurant,Pittsburgh,US,40.439155,-79.960715,Arby's,15213,PA,"http://arbys.com/our-menu,http://www.arbys.com"
4389,4810 McKnight Rd,Fast Food Restaurant,Pittsburgh,US,40.525383,-80.004974,Arby's,15237,PA,"http://www.arbys.com,https://locations.arbys.com/us/pa/pittsburgh/4810-mcknight-rd.html"
